企業名,URL,結果,結果詳細
株式会社SPIN TECHNOLOGY,https://jpn.cn.com/9010401161935,！,日本語以外の言語で作成されたページです。
モラブ阪神工業株式会社,https://morabu.com/,！,お問い合わせページが存在しません。
株式会社ギークプラス,https://www.geekplus.jp/,！,キャプチャで保護されたページです。
株式会社スタイル・フリー,https://style-free.co.jp/,◯,
株式会社ウェルスペック,https://wellspec.co.jp/,！,お問い合わせページが存在しません。
ジグノシステムジャパン株式会社,https://gigno.co.jp/,！,お問い合わせページが存在しません。
株式会社フレスタ,https://www.fresta.co.jp/,×,回答内容に不備がありました。
株式会社アルトナー,https://www.artner.co.jp/,！,お問い合わせページが存在しません。
株式会社D-design,http://www.d-dsn.co.jp/,！,お問い合わせページが存在しません。
株式会社ケー・ケー・シー,http://kkcm.co.jp/,！,お問い合わせページが存在しません。
イシン株式会社,https://www.ishin1853.co.jp/,◯,
アビームコンサルティング株式会社,https://jp.abeam.com/,◯,
アンファー株式会社,https://www.angfa.jp/,◯,
株式会社ベイカレント・コンサルティング,http://www.baycurrent.co.jp/,◯,
株式会社Looop,https://looop.co.jp/,！,キャプチャで保護されたページです。
株式会社dirbato,https://www.dirbato.co.jp/,◯,
株式会社ビジョン・コンサルティング,https://visioncon.co.jp/,◯,
コーデンシ株式会社,https://www.kodenshi.co.jp/,！,日本語以外の言語で作成されたページです。
ヒビノ株式会社,https://www.hibino.co.jp/,◯,
ブラザー工業株式会社,https://www.brother.co.jp/,！,お問い合わせページが存在しません。
メック株式会社,https://www.mec-co.com/,！,お問い合わせページが存在しません。
株式会社シノケングループ,https://www.shinoken.co.jp/,！,こちらのサイトにアクセスできません。URLをお確かめください。
株式会社ダスキン,https://www.duskin.co.jp/,！,こちらのサイトにアクセスできません。URLをお確かめください。
株式会社テレビ東京コミュニケーションズ,https://txcom.jp/,！,お問い合わせページが存在しません。
株式会社ネクステージ,https://www.nextage.jp/,◯,
株式会社バンダイナムコビジネスアーク,https://www.bandainamco-ba.co.jp/,！,お問い合わせページが存在しません。
株式会社ヒガシトゥエンティワン,https://www.e-higashi.co.jp/,×,送信ボタンの特定に失敗しました。
株式会社ファーマインド,https://www.farmind.co.jp/,×,送信ボタンの特定に失敗しました。
株式会社合食,https://www.goshoku.co.jp/,×,確認ボタンのクリックに失敗しました。
株式会社三井ハイテック,https://www.mitsui-high-tec.com/ja/,×,回答内容に不備がありました。
株式会社斉藤工務店,http://www.saito-k.com/,×,送信ボタンの特定に失敗しました。
株式会社池田模範堂,https://www.ikedamohando.co.jp/,！,お問い合わせページが存在しません。
株式会社日本取引所グループ,https://www.jpx.co.jp/,！,お問い合わせページが存在しません。
国際紙パルプ商事株式会社,https://www.kppc.co.jp/,◯,
三光株式会社,https://sankokk-net.co.jp/,！,お問い合わせページが存在しません。
