url,input,name
https://groundinc.co.jp/,"<select class=""easyselectbox"" id=""subject"" name=""subject"">
<option disabled="""" selected="""" value="""">選択してください</option>
<option value=""サービスに関するお問い合わせ"">サービスに関するお問い合わせ</option>
<option value=""採用に関するお問い合わせ"">採用に関するお問い合わせ</option>
<option value=""取材のお申込み"">取材のお申込み</option>
<option value=""その他のお問い合わせ"">その他のお問い合わせ</option>
</select>",subject
https://www.system-pack.co.jp/,"<select name=""g0i0"">
<option value=""""></option>
<option value=""業務提携・パートナーシップのご相談"">業務提携・パートナーシップのご相談</option>
<option value=""製品・サービスのお問い合わせ"">製品・サービスのお問い合わせ</option>
<option value=""採用に関するお問い合わせ"">採用に関するお問い合わせ</option>
<option value=""その他"">その他</option>
</select>",g0i0
https://www.techvan.co.jp/,"<select class=""elq-item-select"" data-value="""" id=""fe3852"" name=""services1"" style=""width:100%;"">
<option value=""各種製品・サービスに関するお問い合わせ"">各種製品・サービスに関するお問い合わせ
                      </option>
<option value=""採用に関するお問い合わせ"">採用に関するお問い合わせ
                      </option>
<option value=""協業に関するお問い合わせ"">協業に関するお問い合わせ
                      </option>
<option value=""その他のお問い合わせ"">その他のお問い合わせ
                      </option>
</select>",services1
https://lainz.jp/,"<select class=""p-contact-form__select__obj"" name=""お問い合わせ項目"">
<option value=""LainZについて"">
			LainZについて		</option>
<option value=""サービスについて"">
			サービスについて		</option>
<option value=""採用について"">
			採用について		</option>
<option value=""ビジネスパートナーについて"">
			ビジネスパートナーについて		</option>
<option value=""その他のお問い合わせ"">
			その他のお問い合わせ		</option>
</select>",お問い合わせ項目
http://www.correctaria.jp/correctaria/src/index.html,"<select class=""form-control"" id=""regular1"">
<option selected=""selected"" style="" background: rgba(0, 0, 0, 0.87);"" value=""1"">
                                    パートナー提携について</option>
<option style=""background: rgba(0, 0, 0, 0.87);"" value=""2"">採用について</option>
<option style=""background: rgba(0, 0, 0, 0.87);"" value=""3"">その他</option>
</select>",
https://www.wing-net.co.jp/,"<select id=""syubetsu"" name=""syubetsu"">
<option value=""体験型チームビルディングについて"">体験型チームビルディングについて</option>
<option value=""オンライン研修について"">オンライン研修について</option>
<option value=""DiSC（行動分析アセスメントツール）について"">DiSC（行動分析アセスメントツール）について</option>
<option value=""戦略的人材アセスメント『ProfileXT』について"">戦略的人材アセスメント『ProfileXT』について</option>
</select>",syubetsu
https://www.eco-imex.co.jp/,"<select name=""pref"" style="""">
<option value="""">都道府県を選択してください</option>
<option label=""北海道"" value=""北海道"">北海道</option>
<option label=""青森県"" value=""青森県"">青森県</option>
<option label=""岩手県"" value=""岩手県"">岩手県</option>
<option label=""宮城県"" value=""宮城県"">宮城県</option>
<option label=""秋田県"" value=""秋田県"">秋田県</option>
<option label=""山形県"" value=""山形県"">山形県</option>
<option label=""福島県"" value=""福島県"">福島県</option>
<option label=""茨城県"" value=""茨城県"">茨城県</option>
<option label=""栃木県"" value=""栃木県"">栃木県</option>
<option label=""群馬県"" value=""群馬県"">群馬県</option>
<option label=""埼玉県"" value=""埼玉県"">埼玉県</option>
<option label=""千葉県"" value=""千葉県"">千葉県</option>
<option label=""東京都"" value=""東京都"">東京都</option>
<option label=""神奈川県"" value=""神奈川県"">神奈川県</option>
<option label=""新潟県"" value=""新潟県"">新潟県</option>
<option label=""富山県"" value=""富山県"">富山県</option>
<option label=""石川県"" value=""石川県"">石川県</option>
<option label=""福井県"" value=""福井県"">福井県</option>
<option label=""山梨県"" value=""山梨県"">山梨県</option>
<option label=""長野県"" value=""長野県"">長野県</option>
<option label=""岐阜県"" value=""岐阜県"">岐阜県</option>
<option label=""静岡県"" value=""静岡県"">静岡県</option>
<option label=""愛知県"" value=""愛知県"">愛知県</option>
<option label=""三重県"" value=""三重県"">三重県</option>
<option label=""滋賀県"" value=""滋賀県"">滋賀県</option>
<option label=""京都府"" value=""京都府"">京都府</option>
<option label=""大阪府"" value=""大阪府"">大阪府</option>
<option label=""兵庫県"" value=""兵庫県"">兵庫県</option>
<option label=""奈良県"" value=""奈良県"">奈良県</option>
<option label=""和歌山県"" value=""和歌山県"">和歌山県</option>
<option label=""鳥取県"" value=""鳥取県"">鳥取県</option>
<option label=""島根県"" value=""島根県"">島根県</option>
<option label=""岡山県"" value=""岡山県"">岡山県</option>
<option label=""広島県"" value=""広島県"">広島県</option>
<option label=""山口県"" value=""山口県"">山口県</option>
<option label=""徳島県"" value=""徳島県"">徳島県</option>
<option label=""香川県"" value=""香川県"">香川県</option>
<option label=""愛媛県"" value=""愛媛県"">愛媛県</option>
<option label=""高知県"" value=""高知県"">高知県</option>
<option label=""福岡県"" value=""福岡県"">福岡県</option>
<option label=""佐賀県"" value=""佐賀県"">佐賀県</option>
<option label=""長崎県"" value=""長崎県"">長崎県</option>
<option label=""熊本県"" value=""熊本県"">熊本県</option>
<option label=""大分県"" value=""大分県"">大分県</option>
<option label=""宮崎県"" value=""宮崎県"">宮崎県</option>
<option label=""鹿児島県"" value=""鹿児島県"">鹿児島県</option>
<option label=""沖縄県"" value=""沖縄県"">沖縄県</option>
</select>",pref
https://www.ostechnology.co.jp/,"<select class=""form_genre _required"" id=""Sections_0__Fields_0"" name=""genre"">
<option selected=""selected"" value="""">選択してください</option>
<option value=""お仕事の依頼について"">
                            お仕事の依頼について </option>
<option value=""サービスについて"">
                            サービスについて </option>
<option value=""製品について"">
                            製品について </option>
<option value=""採用について"">
                            採用について </option>
<option value=""取材について"">
                            取材について </option>
<option value=""事業の提携について"">
                            事業の提携について </option>
<option value=""ロボティクスについて"">
                            ロボティクスについて </option>
<option value=""その他"">
                            その他 </option>
</select>",genre
https://www.even.co.jp/,"<select name=""mailform05"">
<option value=""▼選択してください"">▼選択してください</option>
<option value=""北海道"">北海道</option>
<option value=""青森県"">青森県</option>
<option value=""岩手県"">岩手県</option>
<option value=""宮城県"">宮城県</option>
<option value=""秋田県"">秋田県</option>
<option value=""山形県"">山形県</option>
<option value=""福島県"">福島県</option>
<option value=""茨城県"">茨城県</option>
<option value=""栃木県"">栃木県</option>
<option value=""群馬県"">群馬県</option>
<option value=""埼玉県"">埼玉県</option>
<option value=""千葉県"">千葉県</option>
<option value=""東京都"">東京都</option>
<option value=""神奈川県"">神奈川県</option>
<option value=""新潟県"">新潟県</option>
<option value=""富山県"">富山県</option>
<option value=""石川県"">石川県</option>
<option value=""福井県"">福井県</option>
<option value=""山梨県"">山梨県</option>
<option value=""長野県"">長野県</option>
<option value=""岐阜県"">岐阜県</option>
<option value=""静岡県"">静岡県</option>
<option value=""愛知県"">愛知県</option>
<option value=""三重県"">三重県</option>
<option value=""滋賀県"">滋賀県</option>
<option value=""京都府"">京都府</option>
<option value=""大阪府"">大阪府</option>
<option value=""兵庫県"">兵庫県</option>
<option value=""奈良県"">奈良県</option>
<option value=""和歌山県"">和歌山県</option>
<option value=""鳥取県"">鳥取県</option>
<option value=""島根県"">島根県</option>
<option value=""岡山県"">岡山県</option>
<option value=""広島県"">広島県</option>
<option value=""山口県"">山口県</option>
<option value=""徳島県"">徳島県</option>
<option value=""香川県"">香川県</option>
<option value=""愛媛県"">愛媛県</option>
<option value=""高知県"">高知県</option>
<option value=""福岡県"">福岡県</option>
<option value=""佐賀県"">佐賀県</option>
<option value=""長崎県"">長崎県</option>
<option value=""熊本県"">熊本県</option>
<option value=""大分県"">大分県</option>
<option value=""宮崎県"">宮崎県</option>
<option value=""鹿児島県"">鹿児島県</option>
<option value=""沖縄県"">沖縄県</option>
</select>",mailform05
https://intelligible.work/,"<select name=""v[3][1]""><option value="""">都道府県</option><option value=""北海道"">北海道</option><option value=""青森県"">青森県</option><option value=""岩手県"">岩手県</option><option value=""宮城県"">宮城県</option><option value=""秋田県"">秋田県</option><option value=""山形県"">山形県</option><option value=""福島県"">福島県</option><option value=""茨城県"">茨城県</option><option value=""栃木県"">栃木県</option><option value=""群馬県"">群馬県</option><option value=""埼玉県"">埼玉県</option><option value=""千葉県"">千葉県</option><option value=""東京都"">東京都</option><option value=""神奈川県"">神奈川県</option><option value=""新潟県"">新潟県</option><option value=""富山県"">富山県</option><option value=""石川県"">石川県</option><option value=""福井県"">福井県</option><option value=""山梨県"">山梨県</option><option value=""長野県"">長野県</option><option value=""岐阜県"">岐阜県</option><option value=""静岡県"">静岡県</option><option value=""愛知県"">愛知県</option><option value=""三重県"">三重県</option><option value=""滋賀県"">滋賀県</option><option value=""京都府"">京都府</option><option value=""大阪府"">大阪府</option><option value=""兵庫県"">兵庫県</option><option value=""奈良県"">奈良県</option><option value=""和歌山県"">和歌山県</option><option value=""鳥取県"">鳥取県</option><option value=""島根県"">島根県</option><option value=""岡山県"">岡山県</option><option value=""広島県"">広島県</option><option value=""山口県"">山口県</option><option value=""徳島県"">徳島県</option><option value=""香川県"">香川県</option><option value=""愛媛県"">愛媛県</option><option value=""高知県"">高知県</option><option value=""福岡県"">福岡県</option><option value=""佐賀県"">佐賀県</option><option value=""長崎県"">長崎県</option><option value=""熊本県"">熊本県</option><option value=""大分県"">大分県</option><option value=""宮崎県"">宮崎県</option><option value=""鹿児島県"">鹿児島県</option><option value=""沖縄県"">沖縄県</option></select>",v[3][1]
